book_id,title,author,year,description
1,Calculus,Michael Spivak,1967,Academic book on Mathematics.
2,Introduction to Linear Algebra,Gilbert Strang,1993,Academic book on Mathematics.
3,Discrete Mathematics and Its Applications,Kenneth H. Rosen,1988,Academic book on Mathematics.
4,Principles of Mathematical Analysis,Walter Rudin,1953,Academic book on Mathematics.
5,Abstract Algebra,David S. Dummit,1991,Academic book on Mathematics.
6,Linear Algebra Done Right,Sheldon Axler,1995,Academic book on Mathematics.
7,Topology,James R. Munkres,1975,Academic book on Mathematics.
8,Numerical Analysis,Richard L. Burden,1978,Academic book on Mathematics.
9,A First Course in Probability,Sheldon Ross,1976,Academic book on Mathematics.
10,Mathematical Methods for Physics and Engineering,K. F. Riley,1997,Academic book on Mathematics.
11,The C Programming Language,Brian W. Kernighan,1978,Academic book on Programming.
12,Structure and Interpretation of Computer Programs,Harold Abelson,1984,Academic book on Programming.
13,Clean Code,Robert C. Martin,2008,Academic book on Programming.
14,The Pragmatic Programmer,Andrew Hunt,1999,Academic book on Programming.
15,Introduction to Algorithms,Thomas H. Cormen,1990,Academic book on Programming.
16,Design Patterns,Erich Gamma,1994,Academic book on Programming.
17,Code Complete,Steve McConnell,1993,Academic book on Programming.
18,Python Crash Course,Eric Matthes,2015,Academic book on Programming.
19,Eloquent JavaScript,Marijn Haverbeke,2011,Academic book on Programming.
20,Refactoring,Martin Fowler,1999,Academic book on Programming.
21,Database System Concepts,Abraham Silberschatz,1991,Academic book on Databases.
22,An Introduction to Database Systems,C. J. Date,1975,Academic book on Databases.
23,Fundamentals of Database Systems,Ramez Elmasri,1989,Academic book on Databases.
24,The Data Warehouse Toolkit,Ralph Kimball,1996,Academic book on Databases.
25,SQL and Relational Theory,C. J. Date,2009,Academic book on Databases.
26,NoSQL Distilled,Pramod J. Sadalage,2012,Academic book on Databases.
27,Designing Data-Intensive Applications,Martin Kleppmann,2017,Academic book on Databases.
28,PostgreSQL: Up and Running,Regina Obe,2012,Academic book on Databases.
29,Learning SQL,Alan Beaulieu,2005,Academic book on Databases.
30,High Performance MySQL,Baron Schwartz,2004,Academic book on Databases.
31,The Art of Statistics,David Spiegelhalter,2019,Academic book on Statistics.
