event_id,student_id,query,filter_used,clicked,searched_at
1,31,databases,True,True,2025-05-07 11:49:00
2,90,machine learning,True,True,2025-05-12 14:56:00
3,79,mathematics,True,False,2025-05-04 16:24:00
4,64,statistics,True,True,2025-05-03 17:37:00
5,193,machine learning,True,False,2025-05-20 18:21:00
6,92,databases,False,True,2025-05-16 18:28:00
7,97,programming,False,True,2025-05-10 17:02:00
8,7,biology,True,False,2025-05-01 10:47:00
9,86,statistics,True,False,2025-05-27 20:17:00
10,200,machine learning,True,False,2025-05-16 10:11:00
11,137,mathematics,False,True,2025-05-10 15:48:00
12,62,biology,False,True,2025-05-09 14:46:00
13,190,ethics,False,True,2025-05-10 17:53:00
14,51,electronics,True,True,2025-05-23 20:37:00
15,118,biology,False,False,2025-05-07 09:08:00
16,177,biology,True,True,2025-05-10 11:28:00
17,127,statistics,False,False,2025-05-02 19:33:00
18,96,ethics,False,True,2025-05-08 09:19:00
19,53,programming,False,True,2025-05-09 11:27:00
20,124,programming,False,True,2025-05-26 08:31:00
21,141,mathematics,True,True,2025-05-20 18:25:00
22,162,databases,False,False,2025-05-11 20:29:00
23,14,mathematics,True,True,2025-05-05 21:27:00
24,149,programming,False,True,2025-05-12 12:11:00
25,181,mathematics,False,True,2025-05-02 10:12:00
26,14,biology,True,True,2025-05-21 19:21:00
27,179,databases,True,True,2025-05-06 12:47:00
28,25,mathematics,True,False,2025-05-13 14:30:00
29,10,biology,True,True,2025-05-24 17:36:00
30,37,machine learning,True,False,2025-05-14 11:13:00
31,190,databases,False,True,2025-05-09 08:02:00
32,82,databases,True,False,2025-05-06 18:11:00
33,13,mathematics,True,True,2025-05-04 18:47:00
34,158,programming,False,False,2025-05-25 11:16:00
35,137,programming,True,True,2025-05-07 11:41:00
36,45,programming,True,True,2025-05-26 11:10:00
37,63,machine learning,False,True,2025-05-22 12:21:00
38,33,machine learning,True,True,2025-05-10 20:51:00
39,77,mathematics,False,False,2025-05-06 12:37:00
40,132,databases,True,True,2025-05-24 08:46:00
41,150,ethics,False,True,2025-05-21 18:30:00
42,161,electronics,False,False,2025-05-22 17:35:00
43,164,ethics,False,True,2025-05-27 11:22:00
44,104,databases,False,True,2025-05-13 14:23:00
45,86,ethics,False,True,2025-05-25 14:10:00
46,95,mathematics,False,False,2025-05-20 14:26:00
47,77,biology,True,True,2025-05-08 11:25:00
48,149,ethics,False,True,2025-05-25 12:59:00
49,196,statistics,True,False,2025-05-11 11:35:00
50,149,machine learning,False,False,2025-05-05 20:40:00
51,197,statistics,False,False,2025-05-05 12:12:00
52,182,databases,False,True,2025-05-10 09:21:00
53,122,machine learning,True,False,2025-05-07 19:40:00
54,141,statistics,False,True,2025-05-22 12:26:00
55,141,statistics,True,False,2025-05-22 17:01:00
56,106,databases,False,True,2025-05-10 17:30:00
57,152,programming,False,False,2025-05-14 09:22:00
58,58,programming,False,False,2025-05-13 20:32:00
59,168,mathematics,True,True,2025-05-08 08:31:00
60,54,ethics,True,True,2025-05-23 10:49:00
61,198,machine learning,True,True,2025-05-27 15:35:00
62,183,machine learning,True,False,2025-05-24 12:36:00
63,54,electronics,True,False,2025-05-13 20:12:00
64,152,ethics,False,False,2025-05-13 10:20:00
65,165,databases,True,True,2025-05-13 21:44:00
66,76,statistics,True,True,2025-05-20 09:29:00
67,36,electronics,False,False,2025-05-01 11:25:00
68,147,programming,True,False,2025-05-22 09:11:00
69,165,electronics,True,False,2025-05-19 15:05:00
70,159,mathematics,True,False,2025-05-14 18:56:00
71,141,programming,True,True,2025-05-02 09:24:00
72,28,mathematics,True,False,2025-05-04 14:49:00
73,184,mathematics,True,True,2025-05-25 20:05:00
74,50,electronics,True,True,2025-05-07 15:58:00
75,171,statistics,True,True,2025-05-22 12:34:00
76,26,electronics,True,False,2025-05-03 19:03:00
77,19,statistics,False,False,2025-05-02 09:16:00
78,140,electronics,True,True,2025-05-19 18:45:00
79,152,mathematics,False,True,2025-05-02 21:19:00
80,168,mathematics,False,True,2025-05-05 16:35:00
81,107,machine learning,False,False,2025-05-18 08:47:00
82,19,statistics,False,False,2025-05-10 10:07:00
83,198,biology,True,True,2025-05-10 16:16:00
84,40,statistics,False,True,2025-05-03 14:03:00
85,179,programming,True,False,2025-05-16 21:59:00
86,152,machine learning,True,False,2025-05-02 09:20:00
87,124,programming,True,False,2025-05-26 15:07:00
88,53,programming,False,False,2025-05-19 18:19:00
89,5,ethics,False,True,2025-05-22 21:00:00
90,42,programming,False,False,2025-05-10 09:07:00
91,34,electronics,False,False,2025-05-11 10:58:00
92,125,statistics,False,True,2025-05-14 15:54:00
93,131,machine learning,True,True,2025-05-07 17:04:00
94,62,mathematics,False,False,2025-05-21 15:19:00
95,158,machine learning,False,False,2025-05-04 20:36:00
96,74,programming,True,False,2025-05-12 12:56:00
97,13,biology,True,True,2025-05-07 13:03:00
98,106,databases,False,False,2025-05-13 09:26:00
99,141,databases,True,True,2025-05-11 10:48:00
100,168,programming,True,True,2025-05-01 10:40:00
101,94,programming,True,False,2025-05-23 15:37:00
102,139,biology,False,False,2025-05-14 14:38:00
103,73,statistics,False,False,2025-05-02 08:23:00
104,28,biology,False,False,2025-05-14 15:22:00
105,170,biology,False,True,2025-05-25 16:18:00
106,38,programming,False,True,2025-05-15 10:24:00
107,104,machine learning,True,False,2025-05-12 08:16:00
108,98,mathematics,False,False,2025-05-03 12:54:00
109,168,statistics,False,True,2025-05-01 21:24:00
110,131,databases,False,False,2025-05-09 08:50:00
111,180,programming,False,False,2025-05-01 08:40:00
112,106,electronics,True,True,2025-05-26 20:06:00
