session_id,subject_id
1,4
1,6
1,8
1,5
1,3
1,7
2,8
2,7
2,3
2,1
2,6
2,2
3,7
4,8
4,1
4,7
5,3
5,5
6,5
7,7
7,6
7,1
7,5
8,3
8,1
8,8
8,5
9,8
9,3
9,5
10,1
10,4
11,4
12,1
12,2
12,4
12,6
13,3
14,7
14,8
14,5
14,2
14,4
15,4
15,7
15,1
15,3
16,1
16,4
16,7
16,6
16,8
17,6
18,7
18,3
18,1
18,2
18,8
19,1
19,3
19,5
19,2
19,4
19,6
20,6
20,5
20,3
20,2
20,1
20,8
21,7
21,3
22,4
22,3
22,5
22,8
23,4
24,8
24,7
24,2
24,6
24,5
25,2
25,1
25,8
25,5
26,8
26,5
26,2
27,7
27,1
27,4
27,3
27,6
28,6
28,4
28,2
28,5
28,1
28,8
29,7
29,1
29,8
29,2
30,7
30,5
30,8
30,4
31,8
31,5
31,2
31,6
32,8
33,7
33,5
34,2
34,1
34,5
34,3
34,4
34,7
35,7
35,3
35,8
35,4
35,1
36,6
36,5
36,4
36,3
37,5
37,4
37,6
37,1
37,3
37,2
38,3
38,8
38,1
39,7
39,3
39,2
39,5
40,1
40,7
40,4
40,5
41,3
41,6
42,5
42,7
42,1
42,4
42,2
43,5
43,7
43,1
44,7
44,2
45,1
45,2
45,7
45,6
45,4
45,8
46,5
47,2
47,6
48,8
48,2
48,5
49,6
49,3
49,8
49,4
50,3
51,8
52,4
52,6
52,8
52,1
52,2
52,3
53,5
53,6
53,1
53,2
54,1
54,4
54,5
54,8
54,6
55,8
55,1
55,4
56,4
56,7
56,1
56,2
56,3
56,8
57,1
57,7
57,3
57,6
58,4
58,7
58,6
58,8
58,3
59,5
59,3
59,7
59,1
60,3
60,6
60,1
61,1
62,7
62,4
63,1
63,2
64,8
65,6
65,1
66,7
66,5
66,2
66,1
66,3
66,4
67,5
67,6
67,4
67,2
67,3
68,3
68,8
68,6
68,7
69,8
69,2
69,6
69,7
69,5
70,6
70,3
70,8
70,4
70,5
71,1
71,5
71,8
71,7
71,4
71,3
72,6
72,1
72,8
73,1
73,5
73,7
74,7
74,5
74,3
74,6
75,1
75,5
76,8
76,6
76,4
76,7
77,8
77,2
78,1
78,6
79,5
79,6
79,1
79,4
79,8
80,4
80,3
80,1
80,2
81,3
81,7
81,2
82,2
82,6
82,7
83,6
83,5
83,2
83,3
83,7
83,8
84,4
84,2
84,3
84,8
85,1
85,3
85,6
85,5
86,6
86,8
86,4
86,5
86,3
86,1
87,4
87,7
87,1
87,8
87,6
88,6
88,7
88,5
88,2
88,1
89,4
89,6
90,1
90,6
90,7
90,2
90,4
91,8
91,5
91,1
91,4
91,7
92,4
92,3
92,5
93,7
93,3
93,8
93,1
93,6
93,2
94,8
94,5
95,3
95,8
95,4
95,5
95,6
95,7
96,4
96,1
96,3
96,6
96,8
97,1
97,7
97,5
97,6
97,4
98,2
98,6
98,5
98,8
99,3
99,8
100,5
100,1
101,6
101,4
101,5
101,2
101,1
102,8
102,6
102,4
102,3
102,7
103,3
104,7
104,2
104,8
104,4
104,1
104,6
105,5
105,2
106,4
106,3
106,1
107,2
107,8
107,7
108,8
109,5
109,2
110,2
110,6
110,4
110,1
111,5
112,3
112,8
112,5
112,6
112,4
113,1
113,6
113,4
114,3
115,2
115,3
115,4
115,8
115,5
116,7
116,4
116,3
116,8
116,1
117,3
117,8
117,4
117,7
118,8
118,6
118,1
118,2
119,7
120,3
121,4
121,3
121,2
121,5
122,6
122,1
123,2
124,6
124,8
124,7
125,2
126,4
126,3
126,8
126,7
126,2
127,5
127,2
128,5
128,2
128,4
128,6
128,1
129,2
129,7
129,8
129,3
130,8
130,1
131,8
131,3
131,1
131,7
131,6
132,6
132,8
132,3
132,5
132,1
133,4
133,8
133,3
133,7
133,1
134,5
134,7
134,3
135,7
135,8
136,6
136,4
136,2
136,8
137,2
137,1
138,4
139,2
139,6
139,4
139,1
139,5
139,7
140,8
140,4
141,7
142,7
142,3
142,4
143,2
143,5
143,8
144,8
145,2
145,4
145,7
145,3
145,6
145,5
146,5
147,6
147,8
147,5
147,3
148,6
148,2
148,1
148,8
149,8
149,1
149,5
150,2
150,8
150,5
150,4
150,7
151,4
151,3
152,8
152,3
153,5
153,6
154,8
154,5
155,1
155,3
155,7
155,4
155,5
156,4
157,6
157,4
157,3
158,7
159,4
159,5
159,1
159,8
159,7
159,2
160,5
161,8
161,3
161,5
161,2
161,7
161,6
162,7
163,6
163,4
164,8
164,1
164,2
164,3
164,4
165,3
166,3
166,1
166,2
167,5
167,1
167,4
167,7
167,6
168,5
168,4
168,6
168,1
169,2
170,2
171,2
171,4
172,6
172,3
172,1
173,6
173,5
173,1
173,3
174,6
174,8
174,4
175,2
175,7
175,5
176,2
176,3
176,1
176,7
176,6
176,4
177,3
177,4
177,8
177,2
178,5
178,6
178,3
178,4
178,8
178,2
179,7
179,4
179,6
179,3
179,1
179,2
180,2
181,4
182,5
182,6
182,1
182,2
182,8
183,3
183,1
184,8
184,4
184,7
185,8
185,6
185,7
185,4
185,5
186,2
186,1
186,4
186,3
186,8
186,6
187,1
187,6
188,8
188,7
188,2
188,3
188,5
189,4
190,6
190,8
190,2
190,7
190,1
190,3
191,8
191,5
192,6
192,4
192,8
192,2
192,1
192,3
193,3
193,6
194,8
194,7
195,5
195,6
195,8
196,7
196,2
196,1
196,8
197,6
197,3
197,8
197,2
197,5
198,6
199,2
200,6
200,8
200,5
201,5
202,4
202,7
202,6
202,2
202,5
203,4
203,3
204,2
204,1
204,8
204,4
204,3
204,5
205,4
205,2
205,1
205,6
206,5
206,6
207,5
207,8
207,3
207,1
207,7
208,8
208,1
209,4
210,3
210,1
210,8
210,2
210,6
211,6
211,1
211,7
211,8
211,3
211,2
212,8
213,4
213,5
213,3
213,8
214,8
215,2
215,8
215,5
215,4
216,8
216,6
217,6
217,3
217,8
217,5
218,2
219,4
219,6
219,7
219,1
219,3
220,6
220,2
220,8
221,4
221,5
221,2
222,7
222,4
222,1
223,3
224,5
224,3
224,1
224,4
224,8
224,2
225,3
225,7
225,1
225,6
225,5
226,5
226,4
226,1
226,6
226,2
226,7
227,1
227,6
227,3
227,5
227,4
227,2
228,8
228,1
228,6
229,8
230,5
230,2
231,8
231,6
232,4
232,5
232,1
232,8
232,7
232,3
233,1
233,3
234,5
234,2
234,7
234,6
234,1
234,8
235,2
235,7
235,4
236,3
236,8
237,7
237,2
237,3
238,2
239,7
239,6
240,3
240,6
240,4
241,7
241,1
241,8
242,3
242,4
242,6
242,1
242,8
242,2
243,6
243,1
243,5
244,6
244,5
244,3
244,7
244,2
244,4
245,1
245,3
245,8
245,4
245,7
245,6
246,4
247,8
247,4
247,7
248,5
248,4
248,3
249,7
249,2
249,6
249,4
250,5
250,6
251,3
251,7
252,4
252,2
253,2
254,1
255,5
255,3
255,2
255,4
255,7
256,6
256,7
256,3
256,5
257,3
257,4
257,6
257,2
257,1
258,2
258,5
258,8
258,6
258,7
258,3
259,8
259,4
259,1
259,7
259,5
260,6
260,8
260,3
260,1
260,5
260,4
261,3
262,6
262,5
263,7
263,4
263,8
263,3
263,2
264,8
264,2
264,6
264,7
264,4
264,3
265,1
265,2
265,4
265,8
265,6
265,7
266,7
266,8
266,3
266,2
266,4
266,1
267,2
268,4
268,8
268,7
268,2
268,1
269,3
269,6
269,7
270,1
270,5
270,8
270,4
270,2
270,6
271,5
271,3
271,2
271,6
272,6
272,7
272,5
272,8
273,4
273,1
273,5
273,6
274,1
275,7
276,1
276,5
276,3
276,7
276,8
276,2
277,7
277,2
277,4
277,8
278,5
278,7
278,2
278,8
278,3
279,7
279,3
279,6
279,2
279,8
279,4
280,7
280,4
280,3
281,6
281,5
281,3
281,4
281,8
281,7
282,7
282,3
282,1
282,5
283,8
283,1
283,7
283,2
283,3
284,3
284,8
284,2
284,4
284,1
284,6
285,8
285,3
285,4
285,5
285,2
285,6
286,3
287,2
287,8
287,7
287,1
288,2
288,3
288,8
288,6
289,1
289,7
289,3
289,4
290,5
290,1
290,2
290,4
290,3
291,8
291,7
291,6
291,4
291,1
292,5
293,8
294,8
294,4
294,2
294,1
295,7
295,4
295,1
296,6
296,2
296,8
296,1
296,3
297,3
297,1
297,6
297,2
297,5
298,1
298,8
298,4
298,7
298,2
299,6
299,4
299,7
300,7
300,4
300,1
300,3
300,5
300,2
301,5
301,3
301,4
301,6
301,8
302,7
302,8
302,3
302,4
303,3
304,8
304,5
304,2
305,7
305,1
305,6
305,5
306,4
306,6
306,5
306,8
306,3
307,1
307,2
307,7
307,8
308,1
308,8
308,7
308,6
308,3
309,3
309,6
309,8
309,7
309,2
310,4
310,3
310,1
311,6
311,3
311,4
311,8
311,5
311,1
312,7
312,6
312,3
312,1
312,4
313,2
313,7
313,6
313,4
313,8
313,5
314,5
314,2
314,4
314,8
315,1
315,8
315,7
315,2
315,4
316,3
316,7
316,1
316,2
316,4
316,6
317,6
317,8
317,4
318,7
318,4
318,2
318,6
319,3
320,5
320,1
320,6
321,5
321,3
321,1
322,8
322,1
323,2
323,6
324,8
324,4
324,6
325,8
325,3
325,4
326,7
326,4
326,8
326,1
326,3
327,1
327,7
327,2
327,8
327,3
328,7
328,2
328,4
329,8
329,4
329,2
329,6
329,1
330,3
331,5
331,7
331,2
331,1
331,8
331,6
332,2
332,1
332,7
332,3
332,5
332,6
333,7
333,5
333,1
334,8
334,4
334,6
334,5
334,2
334,7
335,6
335,8
335,4
335,1
335,5
335,3
336,1
336,6
336,4
337,6
337,3
337,4
337,7
337,8
337,1
338,7
338,6
338,2
339,5
339,7
339,1
339,3
340,2
340,7
340,5
341,6
341,5
341,4
341,3
342,8
342,6
342,3
342,2
342,5
342,7
343,3
343,8
343,1
344,3
344,2
344,4
344,6
344,5
345,8
345,1
346,4
346,3
347,1
347,8
347,6
347,3
347,4
347,7
348,1
348,5
348,4
348,7
349,8
349,5
349,2
349,3
350,1
350,6
350,5
350,3
350,2
351,6
351,5
351,2
351,3
351,4
351,1
352,3
352,8
352,4
352,2
353,8
353,1
353,6
353,3
354,2
354,1
354,3
354,7
354,6
354,4
355,7
356,5
356,3
356,8
356,7
356,1
357,7
357,5
357,6
357,3
357,4
357,1
358,4
359,7
360,1
360,8
361,3
362,4
362,2
363,3
363,1
364,1
364,7
365,8
366,2
366,6
366,5
366,1
366,4
367,4
367,7
368,7
368,5
368,1
369,3
369,1
369,8
369,7
369,5
369,6
370,2
370,8
370,7
370,6
370,1
371,2
371,5
371,8
372,1
372,2
373,4
373,2
373,8
373,6
374,8
375,4
375,5
376,5
376,1
376,4
376,3
377,5
377,7
377,1
377,6
377,3
377,8
378,7
379,1
379,5
379,6
379,2
380,6
380,8
380,1
380,7
380,4
380,5
381,1
381,8
381,6
381,5
382,7
383,3
384,8
385,8
386,5
386,7
386,1
386,4
387,2
387,5
387,1
387,6
387,7
387,8
388,6
388,2
388,3
388,5
388,4
388,8
389,2
389,4
389,7
389,1
389,8
390,3
391,3
391,5
392,8
392,2
392,5
392,6
393,5
393,1
393,8
394,7
394,3
394,5
394,8
395,6
395,2
395,8
395,7
395,1
396,6
396,7
396,2
396,8
397,5
397,7
398,6
398,2
399,8
399,1
399,3
399,6
399,5
400,5
400,2
400,1
400,6
400,8
400,7
401,2
401,6
401,5
